ID,ward,district,age_hhh,sex_hhh,edu_hhh,elderly,adult,youth,family_size,nb_of_tractors,nb_of_two_wheel_tractors,nb_of_ploughs,nb_of_cultivators,nb_of_scotchcarts,nb_of_wheelbarows,nb_of_metal_siloes_or_other_improved_storage_facility,nb_of_solar_panels,nb_of_biogas_digester,nb_of_green_houses,nb_of_motorized_grinding_mill,cropped_area,fallow,maize,small_grains,legumes,other,cattle,small_rum,poultry,how_many_bee_hives_do_you_currently_own,do_you_have_a_fish_pond,TLU,do_you_have_an_individual_garden,do_you_have_access_to_a_community_garden,Main food source,Main income source,food_security,hdds,Quality certified seeds,Community seed banks,Drought tolerant varieties,Small grains,Early planting,Crop rotation,Intercropping,Cover crops,Mulching,Integrated pest management,Compost and/or manure,Drip- and/or micro-irrigation market,Optimum plant density,Tree planting on-farm,Tree retention (natural regeneration) on-farm,Improved livestock breed,Improved animal shelter,Water infrastructure,Routine vaccination,Home vaccination,Castration,Deworming,Dipping,Home spraying,Paravet,Homemade animal feed,Fodder production,Fodder preservation,Survival feeding,Commercial feed,Artificial insemination,Pen fattening,crop_div,liv_div,tot_div,clearing,soil_fertility,soil_erosion,soil_compaction,tree_cover,Basal fertilizer,Top-dressing fertilizer,Manure,Compost,credit,saving_loan,knowledge,cereals,Cereal yield (kg/ha),newliv,offtake,death,cattle_goats_poultry
1,Ward 2,Mbire,47,0,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0.2,0.8,0.2,0.2,0,3,12,0,No,0.72,1,0,1,0,0.333333333,2,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,9,3,12,0,Deteriorating,Stable,Deteriorating,Deteriorating,50,50,0,0,No,No,Government extension,600,600,0.25,0.04,0.5,0.42
10,Ward 2,Mbire,37,0,1,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0.8,0,0,0.5,0.3,5.55E-17,0,7,6,0,No,1.46,0,0,1,1,0.416666667,4,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,2,3,5,0,Deteriorating,Deteriorating,Deteriorating,Stable,0,0,0,0,No,No,Government extension,500,1000,0.2,0,0.2,0.7
100,Ward 2,Mbire,38,0,1,0,2,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0.8,0.4,0,0.3,0.3,0,14,0,0,No,2.8,1,0,1,0,0.583333333,4,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6,2,8,0,Deteriorating,Stable,Deteriorating,Stable,50,50,0,0,No,No,Government extension,800,2000,0.5,0.2,0.3,1.4
101,Ward 2,Mbire,36,0,1,1,2,0,6,0,0,1,1,1,1,0,1,0,0,0,1.5,0.8,0.5,0.4,0.6,0,10,10,36,0,No,9.36,1,0,1,1,1,4,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,8,6,14,0,Deteriorating,Deteriorating,Deteriorating,Deteriorating,150,150,660,0,No,No,Government extension,1450,1611.111111,2.1,0.3,0.95,8.3
102,Ward 2,Mbire,35,0,0,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0.4,0.8,0.2,0.2,0,0,0,15,6,0,No,3.06,0,0,1,0,0,3,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,1,3,4,0,Deteriorating,Deteriorating,Deteriorating,Deteriorating,40,20,0,0,No,No,Government extension,500,1250,1,0.5,0.06,1.56
103,Ward 2,Mbire,50,1,1,0,1,1,4,0,0,1,1,0,1,0,1,0,0,0,3,0,0,0,0,3,14,25,14,1,No,14.94,0,0,1,1,0.5,5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,1,7,8,0,Stable,Deteriorating,Stable,Improving,0,0,0,0,No,Yes,Government extension,0,NA,3.64,0.3,0.43,12.4
104,Ward 2,Mbire,38,0,1,0,2,0,4,0,0,1,1,1,0,0,2,0,0,0,5,0,0.5,0,1,3.5,23,22,30,5,Yes,20.8,1,1,1,0,1,5,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,11,6,17,1,Deteriorating,Deteriorating,Deteriorating,Deteriorating,150,150,0,0,No,No,Government extension,20,40,5.73,1.58,0,17.7
105,Ward 2,Mbire,69,0,0,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,2,0,0.8,0.8,0.4,0,0,2,8,0,No,0.48,1,0,1,0,0.333333333,2,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,9,3,12,0,Stable,Stable,Improving,Improving,0,0,750,0,No,No,Government extension,550,343.75,0.19,0.06,0,0.28
106,Ward 2,Mbire,22,1,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0.8,0,0.2,0.4,0.1,0.1,0,2,6,0,No,1.46,1,0,1,1,1,2,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8,4,12,0,Stable,Stable,Stable,Stable,0,0,0,0,No,No,Relatives,1550,2583.333333,0.08,0.03,0,0.26
107,Ward 2,Mbire,68,1,0,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0.7,0,1,0,0,0,3,0,0,No,0.6,1,0,0,0,0.416666667,3,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,5,2,7,0,Deteriorating,Stable,Deteriorating,Deteriorating,0,0,0,0,No,No,Government extension,20,20,0,0,0,0.3
